Release  Id : 110	Personal Income by State
ALPCPI                        Per Capita Personal Income in Alabama                                                                                      NSA  30-Sep-2022 01-Jan-2021             Annual             
ALWACC                        Accommodation and Food Services Wages and Salaries in Alabama                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWADM                        Administrative and Waste Services Wages and Salaries in Alabama                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWART                        Arts, Entertainment and Recreation Wages and Salaries in Alabama                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWCON                        Construction Wages and Salaries in Alabama                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWDUR                        Durable Manufacturing Wages and Salaries in Alabama                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWEDU                        Educational Services Wages and Salaries in Alabama                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWFIN                        Finance and Insurance Wages and Salaries in Alabama                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWFOR                        Forestry, Fishing, Related Activities and Other Wages and Salaries in Alabama                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWHEA                        Health Care and Social Assistance Wages and Salaries in Alabama                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWINF                        Information Wages and Salaries in Alabama                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWMAN                        Management of Companies and Enterprises Wages and Salaries in Alabama                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWMIN                        Mining Wages and Salaries in Alabama                                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWNON                        Nondurable Manufacturing Wages and Salaries in Alabama                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWOTH                        Other Services (Except Public Administration) Wages and Salaries in Alabama                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWPRO                        Professional and Technical Services Wages and Salaries in Alabama                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWREA                        Real Estate, Rental and Leasing Wages and Salaries in Alabama                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWRET                        Retail Trade Wages and Salaries in Alabama                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWTOT                        Total Wages and Salaries in Alabama                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWTRA                        Transportation and Warehousing Wages and Salaries in Alabama                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWUTI                        Utilities Wages and Salaries in Alabama                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ALWWHO                        Wholesale Trade Wages and Salaries in Alabama                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREACC                        Accommodation and Food Services Earnings in Arkansas                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREADJ                        Residence Adjustment in Arkansas                                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREADM                        Administrative and Waste Services Earnings in Arkansas                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREART                        Arts, Entertainment and Recreation Earnings in Arkansas                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARECON                        Construction Earnings in Arkansas                                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREDUR                        Durable Manufacturing Earnings in Arkansas                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREEDU                        Educational Services Earnings in Arkansas                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREFIN                        Finance and Insurance Earnings in Arkansas                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREFOR                        Forestry, Fishing, Related Activities, and Other Earnings in Arkansas                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREHEA                        Health Care and Social Assistance Earnings in Arkansas                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREINF                        Information Earnings in Arkansas                                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREMAN                        Management of Companies and Enterprises Earnings in Arkansas                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREMIN                        Mining Earnings in Arkansas                                                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARENET                        Net Earnings by Place of Residence in Arkansas                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARENON                        Nondurable Manufacturing Earnings in Arkansas                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREOTH                        Other Services (except Public Administration) Earnings in Arkansas                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREPLA                        Earnings by Place of Work in Arkansas                                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREPRO                        Professional and Technical Services Earnings in Arkansas                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREREA                        Real Estate, Rental and Leasing Earnings in Arkansas                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARERET                        Retail Trade Earnings in Arkansas                                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARETRA                        Transportation and Warehousing Earnings in Arkansas                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREUTI                        Utilities Earnings in Arkansas                                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AREWHO                        Wholesale Trade Earnings in Arkansas                                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AROBEN                        State Unemployment Benefits in Arkansas                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARODIV                        Dividends, Interest and Rent in Arkansas                                                                                 M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AROFAR                        Proprietors' Farm Income in Arkansas                                                                                     M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AROFPE                        Farm Personal Income in Arkansas (DISCONTINUED)                                                                          M SAAR 23-May-2004 01-Jul-2003             Quarterly          
AROI96                        Real Per Capita Personal Income in Arkansas                                                                                SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARONON                        Proprietors' Nonfarm Income in Arkansas                                                                                  M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARONOP                        Nonfarm Personal Income in Arkansas (DISCONTINUED)                                                                       M SAAR 23-May-2004 01-Jul-2003             Quarterly          
AROOTH                        Other Labor Income in Arkansas                                                                                           M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AROPCI                        Per Capita Personal Income in Arkansas                                                                                     SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AROPER                        Real Personal Income in Arkansas                                                                                         M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AROSOC                        Personal Contributions for Social Insurance in Arkansas                                                                  M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AROTOT                        Total Personal Income in Arkansas                                                                                        M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AROTRA                        Transfers less State Unemployment Benefits in Arkansas (DISCONTINUED)                                                    M SAAR 01-Jul-2013 01-Jan-2013             Quarterly          
ARPCPI                        Per Capita Personal Income in Arkansas                                                                                     NSA  30-Sep-2022 01-Jan-2021             Annual             
ARWACC                        Accommodation and Food Services Wages and Salaries in Arkansas                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWADM                        Administrative and Waste Services Wages and Salaries in Arkansas                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWART                        Arts, Entertainment and Recreation Wages and Salaries in Arkansas                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWCON                        Construction Wages and Salaries in Arkansas                                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWDUR                        Durable Manufacturing Wages and Salaries in Arkansas                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWEDU                        Educational Services Wages and Salaries in Arkansas                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWFIN                        Finance and Insurance Wages and Salaries in Arkansas                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWFOR                        Forestry, Fishing, Related Activities and Other Wages and Salaries in Arkansas                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWHEA                        Health Care and Social Assistance Wages and Salaries in Arkansas                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWINF                        Information Wages and Salaries in Arkansas                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWMAN                        Management of Companies and Enterprises Wages and Salaries in Arkansas                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWMIN                        Mining Wages and Salaries in Arkansas                                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWNON                        Nondurable Manufacturing Wages and Salaries in Arkansas                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWOTH                        Other Services (Except Public Administration) Wages and Salaries in Arkansas                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWPRO                        Professional and Technical Services Wages and Salaries in Arkansas                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWREA                        Real Estate, Rental and Leasing Wages and Salaries in Arkansas                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWRET                        Retail Trade Wages and Salaries in Arkansas                                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWTOT                        Total Wages and Salaries in Arkansas                                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWTRA                        Transportation and Warehousing Wages and Salaries in Arkansas                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWUTI                        Utilities Wages and Salaries in Arkansas                                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
ARWWHO                        Wholesale Trade Wages and Salaries in Arkansas                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEACC                        Accommodation and Food Services Earnings in Arizona                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEADJ                        Residence Adjustment in Arizona                                                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEADM                        Administrative and Waste Services Earnings in Arizona                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEART                        Arts, Entertainment and Recreation Earnings in Arizona                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZECON                        Construction Earnings in Arizona                                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEDUR                        Durable Manufacturing Earnings in Arizona                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEEDU                        Educational Services Earnings in Arizona                                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEFIN                        Finance and Insurance Earnings in Arizona                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEFOR                        Forestry, Fishing, Related Activities, and Other Earnings in Arizona                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEHEA                        Health Care and Social Assistance Earnings in Arizona                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEINF                        Information Earnings in Arizona                                                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEMAN                        Management of Companies and Enterprises Earnings in Arizona                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEMIN                        Mining Earnings in Arizona                                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZENET                        Net Earnings by Place of Residence in Arizona                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZENON                        Nondurable Manufacturing Earnings in Arizona                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEOTH                        Other Services (except Public Administration) Earnings in Arizona                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEPLA                        Earnings by Place of Work in Arizona                                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEPRO                        Professional and Technical Services Earnings in Arizona                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEREA                        Real Estate, Rental and Leasing Earnings in Arizona                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZERET                        Retail Trade Earnings in Arizona                                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZETRA                        Transportation and Warehousing Earnings in Arizona                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEUTI                        Utilities Earnings in Arizona                                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZEWHO                        Wholesale Trade Earnings in Arizona                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZOBEN                        State Unemployment Benefits in Arizona                                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZODIV                        Dividends, Interest and Rent in Arizona                                                                                  M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZOFAR                        Proprietors' Farm Income in Arizona                                                                                      M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZONON                        Proprietors' Nonfarm Income in Arizona                                                                                   M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZOOTH                        Other Labor Income in Arizona                                                                                            M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZOSOC                        Personal Contributions for Social Insurance in Arizona                                                                   M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZOTOT                        Total Personal Income in Arizona                                                                                         M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZOTRA                        Transfers less State Unemployment Benefits in Arizona (DISCONTINUED)                                                     M SAAR 01-Jul-2013 01-Jan-2013             Quarterly          
AZPCPI                        Per Capita Personal Income in Arizona                                                                                      NSA  30-Sep-2022 01-Jan-2021             Annual             
AZWACC                        Accommodation and Food Services Wages and Salaries in Arizona                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWADM                        Administrative and Waste Services Wages and Salaries in Arizona                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWART                        Arts, Entertainment and Recreation Wages and Salaries in Arizona                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWCON                        Construction Wages and Salaries in Arizona                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWDUR                        Durable Manufacturing Wages and Salaries in Arizona                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWEDU                        Educational Services Wages and Salaries in Arizona                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWFIN                        Finance and Insurance Wages and Salaries in Arizona                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWFOR                        Forestry, Fishing, Related Activities and Other Wages and Salaries in Arizona                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWHEA                        Health Care and Social Assistance Wages and Salaries in Arizona                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWINF                        Information Wages and Salaries in Arizona                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWMAN                        Management of Companies and Enterprises Wages and Salaries in Arizona                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWMIN                        Mining Wages and Salaries in Arizona                                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWNON                        Nondurable Manufacturing Wages and Salaries in Arizona                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWOTH                        Other Services (Except Public Administration) Wages and Salaries in Arizona                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
AZWPRO                        Professional and Technical Services Wages and Salaries in Arizona                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
