Release  Id : 469	State Unemployment Insurance Weekly Claims Report
AKCCLAIMS                     Continued Claims (Insured Unemployment) in Alaska                                                                          NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
CTCCLAIMS                     Continued Claims (Insured Unemployment) in Connecticut                                                                     NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
CTCEMPLOY                     Covered Employment in Connecticut                                                                                          NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
CTICLAIMS                     Initial Claims in Connecticut                                                                                              NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
CTINSUREDUR                   Insured Unemployment Rate in Connecticut                                                                                 P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
DCCCLAIMS                     Continued Claims (Insured Unemployment) in the District of Columbia                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
DCCEMPLOY                     Covered Employment in the District of Columbia                                                                             NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
DCICLAIMS                     Initial Claims in the District of Columbia                                                                                 NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
DCINSUREDUR                   Insured Unemployment Rate in the District of Columbia                                                                    P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
DECCLAIMS                     Continued Claims (Insured Unemployment) in Delaware                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
DECEMPLOY                     Covered Employment in Delaware                                                                                             NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
DEICLAIMS                     Initial Claims in Delaware                                                                                                 NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
DEINSUREDUR                   Insured Unemployment Rate in Delaware                                                                                    P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
FLCCLAIMS                     Continued Claims (Insured Unemployment) in Florida                                                                         NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
FLCEMPLOY                     Covered Employment in Florida                                                                                              NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
FLICLAIMS                     Initial Claims in Florida                                                                                                  NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
FLINSUREDUR                   Insured Unemployment Rate in Florida                                                                                     P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
GACCLAIMS                     Continued Claims (Insured Unemployment) in Georgia                                                                         NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
GACEMPLOY                     Covered Employment in Georgia                                                                                              NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
GAICLAIMS                     Initial Claims in Georgia                                                                                                  NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
GAINSUREDUR                   Insured Unemployment Rate in Georgia                                                                                     P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
HICCLAIMS                     Continued Claims (Insured Unemployment) in Hawaii                                                                          NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
HICEMPLOY                     Covered Employment in Hawaii                                                                                               NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
HIICLAIMS                     Initial Claims in Hawaii                                                                                                   NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
HIINSUREDUR                   Insured Unemployment Rate in Hawaii                                                                                      P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
IACCLAIMS                     Continued Claims (Insured Unemployment) in Iowa                                                                            NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
IACEMPLOY                     Covered Employment in Iowa                                                                                                 NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
IAICLAIMS                     Initial Claims in Iowa                                                                                                     NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
IAINSUREDUR                   Insured Unemployment Rate in Iowa                                                                                        P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
IDCCLAIMS                     Continued Claims (Insured Unemployment) in Idaho                                                                           NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
IDCEMPLOY                     Covered Employment in Idaho                                                                                                NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
IDICLAIMS                     Initial Claims in Idaho                                                                                                    NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
IDINSUREDUR                   Insured Unemployment Rate in Idaho                                                                                       P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
ILCCLAIMS                     Continued Claims (Insured Unemployment) in Illinois                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
ILCEMPLOY                     Covered Employment in Illinois                                                                                             NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
ILICLAIMS                     Initial Claims in Illinois                                                                                                 NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
ILINSUREDUR                   Insured Unemployment Rate in Illinois                                                                                    P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
INCCLAIMS                     Continued Claims (Insured Unemployment) in Indiana                                                                         NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
INCEMPLOY                     Covered Employment in Indiana                                                                                              NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
INICLAIMS                     Initial Claims in Indiana                                                                                                  NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
ININSUREDUR                   Insured Unemployment Rate in Indiana                                                                                     P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
KSCCLAIMS                     Continued Claims (Insured Unemployment) in Kansas                                                                          NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
KSCEMPLOY                     Covered Employment in Kansas                                                                                               NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
KSICLAIMS                     Initial Claims in Kansas                                                                                                   NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
KSINSUREDUR                   Insured Unemployment Rate in Kansas                                                                                      P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
KYCCLAIMS                     Continued Claims (Insured Unemployment) in Kentucky                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
KYCEMPLOY                     Covered Employment in Kentucky                                                                                             NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
KYICLAIMS                     Initial Claims in Kentucky                                                                                                 NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
KYINSUREDUR                   Insured Unemployment Rate in Kentucky                                                                                    P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
LACCLAIMS                     Continued Claims (Insured Unemployment) in Louisiana                                                                       NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
LACEMPLOY                     Covered Employment in Louisiana                                                                                            NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
LAICLAIMS                     Initial Claims in Louisiana                                                                                                NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
LAINSUREDUR                   Insured Unemployment Rate in Louisiana                                                                                   P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MACCLAIMS                     Continued Claims (Insured Unemployment) in Massachusetts                                                                   NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MACEMPLOY                     Covered Employment in Massachusetts                                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MAICLAIMS                     Initial Claims in Massachusetts                                                                                            NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
MAINSUREDUR                   Insured Unemployment Rate in Massachusetts                                                                               P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MDCCLAIMS                     Continued Claims (Insured Unemployment) in Maryland                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MDCEMPLOY                     Covered Employment in Maryland                                                                                             NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MDICLAIMS                     Initial Claims in Maryland                                                                                                 NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
MDINSUREDUR                   Insured Unemployment Rate in Maryland                                                                                    P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MECCLAIMS                     Continued Claims (Insured Unemployment) in Maine                                                                           NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MECEMPLOY                     Covered Employment in Maine                                                                                                NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MEICLAIMS                     Initial Claims in Maine                                                                                                    NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
MEINSUREDUR                   Insured Unemployment Rate in Maine                                                                                       P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MICCLAIMS                     Continued Claims (Insured Unemployment) in Michigan                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MICEMPLOY                     Covered Employment in Michigan                                                                                             NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MIICLAIMS                     Initial Claims in Michigan                                                                                                 NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
MIINSUREDUR                   Insured Unemployment Rate in Michigan                                                                                    P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MNCCLAIMS                     Continued Claims (Insured Unemployment) in Minnesota                                                                       NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MNCEMPLOY                     Covered Employment in Minnesota                                                                                            NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MNICLAIMS                     Initial Claims in Minnesota                                                                                                NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
MNINSUREDUR                   Insured Unemployment Rate in Minnesota                                                                                   P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MOCCLAIMS                     Continued Claims (Insured Unemployment) in Missouri                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MOCEMPLOY                     Covered Employment in Missouri                                                                                             NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MOICLAIMS                     Initial Claims in Missouri                                                                                                 NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
MOINSUREDUR                   Insured Unemployment Rate in Missouri                                                                                    P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MSCCLAIMS                     Continued Claims (Insured Unemployment) in Mississippi                                                                     NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MSCEMPLOY                     Covered Employment in Mississippi                                                                                          NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MSICLAIMS                     Initial Claims in Mississippi                                                                                              NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
MSINSUREDUR                   Insured Unemployment Rate in Mississippi                                                                                 P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MTCCLAIMS                     Continued Claims (Insured Unemployment) in Montana                                                                         NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MTCEMPLOY                     Covered Employment in Montana                                                                                              NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
MTICLAIMS                     Initial Claims in Montana                                                                                                  NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
MTINSUREDUR                   Insured Unemployment Rate in Montana                                                                                     P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NCCCLAIMS                     Continued Claims (Insured Unemployment) in North Carolina                                                                  NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NCCEMPLOY                     Covered Employment in North Carolina                                                                                       NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NCICLAIMS                     Initial Claims in North Carolina                                                                                           NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
NCINSUREDUR                   Insured Unemployment Rate in North Carolina                                                                              P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NDCCLAIMS                     Continued Claims (Insured Unemployment) in North Dakota                                                                    NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NDCEMPLOY                     Covered Employment in North Dakota                                                                                         NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NDICLAIMS                     Initial Claims in North Dakota                                                                                             NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
NDINSUREDUR                   Insured Unemployment Rate in North Dakota                                                                                P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NECCLAIMS                     Continued Claims (Insured Unemployment) in Nebraska                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NECEMPLOY                     Covered Employment in Nebraska                                                                                             NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NEICLAIMS                     Initial Claims in Nebraska                                                                                                 NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
NEINSUREDUR                   Insured Unemployment Rate in Nebraska                                                                                    P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NHCCLAIMS                     Continued Claims (Insured Unemployment) in New Hampshire                                                                   NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NHCEMPLOY                     Covered Employment in New Hampshire                                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NHICLAIMS                     Initial Claims in New Hampshire                                                                                            NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
NHINSUREDUR                   Insured Unemployment Rate in New Hampshire                                                                               P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NJCCLAIMS                     Continued Claims (Insured Unemployment) in New Jersey                                                                      NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NJCEMPLOY                     Covered Employment in New Jersey                                                                                           NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NJICLAIMS                     Initial Claims in New Jersey                                                                                               NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
NJINSUREDUR                   Insured Unemployment Rate in New Jersey                                                                                  P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NMCCLAIMS                     Continued Claims (Insured Unemployment) in New Mexico                                                                      NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NMCEMPLOY                     Covered Employment in New Mexico                                                                                           NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NMICLAIMS                     Initial Claims in New Mexico                                                                                               NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
NMINSUREDUR                   Insured Unemployment Rate in New Mexico                                                                                  P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NVCCLAIMS                     Continued Claims (Insured Unemployment) in Nevada                                                                          NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NVCEMPLOY                     Covered Employment in Nevada                                                                                               NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NVICLAIMS                     Initial Claims in Nevada                                                                                                   NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
NVINSUREDUR                   Insured Unemployment Rate in Nevada                                                                                      P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NYCCLAIMS                     Continued Claims (Insured Unemployment) in New York                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NYCEMPLOY                     Covered Employment in New York                                                                                             NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
NYICLAIMS                     Initial Claims in New York                                                                                                 NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
NYINSUREDUR                   Insured Unemployment Rate in New York                                                                                    P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
OHCCLAIMS                     Continued Claims (Insured Unemployment) in Ohio                                                                            NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
OHCEMPLOY                     Covered Employment in Ohio                                                                                                 NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
OHICLAIMS                     Initial Claims in Ohio                                                                                                     NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
OHINSUREDUR                   Insured Unemployment Rate in Ohio                                                                                        P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
OKCCLAIMS                     Continued Claims (Insured Unemployment) in Oklahoma                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
OKCEMPLOY                     Covered Employment in Oklahoma                                                                                             NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
OKICLAIMS                     Initial Claims in Oklahoma                                                                                                 NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
OKINSUREDUR                   Insured Unemployment Rate in Oklahoma                                                                                    P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
ORCCLAIMS                     Continued Claims (Insured Unemployment) in Oregon                                                                          NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
ORCEMPLOY                     Covered Employment in Oregon                                                                                               NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
ORICLAIMS                     Initial Claims in Oregon                                                                                                   NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
ORINSUREDUR                   Insured Unemployment Rate in Oregon                                                                                      P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
PACCLAIMS                     Continued Claims (Insured Unemployment) in Pennsylvania                                                                    NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
PACEMPLOY                     Covered Employment in Pennsylvania                                                                                         NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
PAICLAIMS                     Initial Claims in Pennsylvania                                                                                             NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
PAINSUREDUR                   Insured Unemployment Rate in Pennsylvania                                                                                P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
PRICCLAIMS                    Continued Claims (Insured Unemployment) in Puerto Rico                                                                     NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
PRICEMPLOY                    Covered Employment in Puerto Rico                                                                                          NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
PRIICLAIMS                    Initial Claims in Puerto Rico                                                                                              NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
PRIINSUREDUR                  Insured Unemployment Rate in Puerto Rico                                                                                   NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
RICCLAIMS                     Continued Claims (Insured Unemployment) in Rhode Island                                                                    NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
RICEMPLOY                     Covered Employment in Rhode Island                                                                                         NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
RIICLAIMS                     Initial Claims in Rhode Island                                                                                             NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
RIINSUREDUR                   Insured Unemployment Rate in Rhode Island                                                                                P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
SCCCLAIMS                     Continued Claims (Insured Unemployment) in South Carolina                                                                  NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
SCCEMPLOY                     Covered Employment in South Carolina                                                                                       NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
SCICLAIMS                     Initial Claims in South Carolina                                                                                           NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
SCINSUREDUR                   Insured Unemployment Rate in South Carolina                                                                              P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
SDCCLAIMS                     Continued Claims (Insured Unemployment) in South Dakota                                                                    NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
SDCEMPLOY                     Covered Employment in South Dakota                                                                                         NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
SDICLAIMS                     Initial Claims in South Dakota                                                                                             NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
SDINSUREDUR                   Insured Unemployment Rate in South Dakota                                                                                P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
TNCCLAIMS                     Continued Claims (Insured Unemployment) in Tennessee                                                                       NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
TNCEMPLOY                     Covered Employment in Tennessee                                                                                            NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
TNICLAIMS                     Initial Claims in Tennessee                                                                                                NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
TNINSUREDUR                   Insured Unemployment Rate in Tennessee                                                                                   P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
TXCCLAIMS                     Continued Claims (Insured Unemployment) in Texas                                                                           NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
TXCEMPLOY                     Covered Employment in Texas                                                                                                NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
TXICLAIMS                     Initial Claims in Texas                                                                                                    NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
TXINSUREDUR                   Insured Unemployment Rate in Texas                                                                                       P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
UTCCLAIMS                     Continued Claims (Insured Unemployment) in Utah                                                                            NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
UTCEMPLOY                     Covered Employment in Utah                                                                                                 NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
UTICLAIMS                     Initial Claims in Utah                                                                                                     NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
UTINSUREDUR                   Insured Unemployment Rate in Utah                                                                                        P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
VACCLAIMS                     Continued Claims (Insured Unemployment) in Virginia                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
VACEMPLOY                     Covered Employment in Virginia                                                                                             NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
VAICLAIMS                     Initial Claims in Virginia                                                                                                 NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
VAINSUREDUR                   Insured Unemployment Rate in Virginia                                                                                    P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
VIRCCLAIMS                    Continued Claims (Insured Unemployment) in the U.S. Virgin Islands                                                         NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
VIRCEMPLOY                    Covered Employment in the U.S. Virgin Islands                                                                              NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
VIRICLAIMS                    Initial Claims in the U.S. Virgin Islands                                                                                  NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
VIRINSUREDUR                  Insured Unemployment Rate in the U.S. Virgin Islands                                                                       NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
VTCCLAIMS                     Continued Claims (Insured Unemployment) in Vermont                                                                         NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
VTCEMPLOY                     Covered Employment in Vermont                                                                                              NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
VTICLAIMS                     Initial Claims in Vermont                                                                                                  NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
VTINSUREDUR                   Insured Unemployment Rate in Vermont                                                                                     P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
WACCLAIMS                     Continued Claims (Insured Unemployment) in Washington                                                                      NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
WACEMPLOY                     Covered Employment in Washington                                                                                           NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
WAICLAIMS                     Initial Claims in Washington                                                                                               NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
WAINSUREDUR                   Insured Unemployment Rate in Washington                                                                                  P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
WICCLAIMS                     Continued Claims (Insured Unemployment) in Wisconsin                                                                       NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
WICEMPLOY                     Covered Employment in Wisconsin                                                                                            NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
WIICLAIMS                     Initial Claims in Wisconsin                                                                                                NSA  16-Dec-2022 10-Dec-2022             Weekly, Ending Sat 
WIINSUREDUR                   Insured Unemployment Rate in Wisconsin                                                                                   P NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
WVCCLAIMS                     Continued Claims (Insured Unemployment) in West Virginia                                                                   NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
WVCEMPLOY                     Covered Employment in West Virginia                                                                                        NSA  16-Dec-2022 03-Dec-2022             Weekly, Ending Sat 
